Event,2km,m
OC,283.2,00:04:43.2
5,0.6526,00:07:14.0
6,0.6899,00:06:50.5
7,0.725,00:06:30.6
8,0.7579,00:06:13.7
9,0.7886,00:05:59.1
10,0.8171,00:05:46.6
11,0.8434,00:05:35.8
12,0.8675,00:05:26.5
13,0.8894,00:05:18.4
14,0.9091,00:05:11.5
15,0.9266,00:05:05.6
16,0.9419,00:05:00.7
17,0.955,00:04:56.5
18,0.967,00:04:52.9
19,0.979,00:04:49.3
20,0.9893,00:04:46.3
21,0.9961,00:04:44.3
22,0.9996,00:04:43.3
23,1,00:04:43.2
24,1,00:04:43.2
25,1,00:04:43.2
26,1,00:04:43.2
27,1,00:04:43.2
28,0.9999,00:04:43.2
29,0.999,00:04:43.5
30,0.9975,00:04:43.9
31,0.9952,00:04:44.6
32,0.9922,00:04:45.4
33,0.9885,00:04:46.5
34,0.984,00:04:47.8
35,0.9788,00:04:49.3
36,0.9729,00:04:51.1
37,0.9662,00:04:53.1
38,0.9592,00:04:55.3
39,0.9521,00:04:57.4
40,0.9451,00:04:59.6
41,0.938,00:05:01.9
42,0.931,00:05:04.2
43,0.924,00:05:06.5
44,0.9169,00:05:08.9
45,0.9099,00:05:11.2
46,0.9028,00:05:13.7
47,0.8958,00:05:16.1
48,0.8888,00:05:18.6
49,0.8817,00:05:21.2
50,0.8747,00:05:23.8
51,0.8676,00:05:26.4
52,0.8606,00:05:29.1
53,0.8536,00:05:31.8
54,0.8465,00:05:34.5
55,0.8395,00:05:37.3
56,0.8324,00:05:40.2
57,0.8254,00:05:43.1
58,0.8184,00:05:46.0
59,0.8113,00:05:49.1
60,0.8043,00:05:52.1
61,0.7972,00:05:55.2
62,0.7902,00:05:58.4
63,0.7832,00:06:01.6
64,0.7761,00:06:04.9
65,0.7691,00:06:08.2
66,0.762,00:06:11.7
67,0.755,00:06:15.1
68,0.7479,00:06:18.7
69,0.7402,00:06:22.6
70,0.7319,00:06:26.9
71,0.723,00:06:31.7
72,0.7134,00:06:37.0
73,0.7031,00:06:42.8
74,0.6923,00:06:49.1
75,0.6808,00:06:56.0
76,0.6687,00:07:03.5
77,0.6559,00:07:11.8
78,0.6425,00:07:20.8
79,0.6285,00:07:30.6
80,0.6138,00:07:41.4
81,0.5985,00:07:53.2
82,0.5825,00:08:06.2
83,0.566,00:08:20.3
84,0.5488,00:08:36.0
85,0.5309,00:08:53.4
86,0.5124,00:09:12.7
87,0.4933,00:09:34.1
88,0.4735,00:09:58.1
89,0.4531,00:10:25.0
90,0.4321,00:10:55.4
91,0.4104,00:11:30.1
92,0.3881,00:12:09.7
93,0.3652,00:12:55.5
94,0.3416,00:13:49.0
95,0.3174,00:14:52.2
96,0.2926,00:16:07.9
97,0.2671,00:17:40.3
98,0.2409,00:19:35.6
99,0.2142,00:22:02.1
100,0.1868,00:25:16.1
