Event,5km,f
OC,888,00:14:48.0
5,0.725,00:20:25.0
6,0.7579,00:19:32.0
7,0.7886,00:18:46.0
8,0.8171,00:18:07.0
9,0.8434,00:17:33.0
10,0.8675,00:17:04.0
11,0.8894,00:16:38.0
12,0.9091,00:16:17.0
13,0.9266,00:15:58.0
14,0.9419,00:15:43.0
15,0.955,00:15:30.0
16,0.967,00:15:18.0
17,0.979,00:15:07.0
18,0.9893,00:14:58.0
19,0.9961,00:14:51.0
20,0.9996,00:14:48.0
21,1,00:14:48.0
22,1,00:14:48.0
23,1,00:14:48.0
24,1,00:14:48.0
25,1,00:14:48.0
26,1,00:14:48.0
27,1,00:14:48.0
28,1,00:14:48.0
29,1,00:14:48.0
30,0.9997,00:14:48.0
31,0.9989,00:14:49.0
32,0.9976,00:14:50.0
33,0.9957,00:14:52.0
34,0.9934,00:14:54.0
35,0.9904,00:14:57.0
36,0.987,00:15:00.0
37,0.983,00:15:03.0
38,0.9785,00:15:08.0
39,0.9734,00:15:12.0
40,0.9678,00:15:18.0
41,0.9617,00:15:23.0
42,0.9551,00:15:30.0
43,0.9479,00:15:37.0
44,0.9402,00:15:44.0
45,0.9319,00:15:53.0
46,0.9232,00:16:02.0
47,0.9139,00:16:12.0
48,0.904,00:16:22.0
49,0.8937,00:16:34.0
50,0.8828,00:16:46.0
51,0.8719,00:16:58.0
52,0.861,00:17:11.0
53,0.8501,00:17:25.0
54,0.8392,00:17:38.0
55,0.8283,00:17:52.0
56,0.8174,00:18:06.0
57,0.8065,00:18:21.0
58,0.7956,00:18:36.0
59,0.7847,00:18:52.0
60,0.7738,00:19:08.0
61,0.7629,00:19:24.0
62,0.752,00:19:41.0
63,0.7411,00:19:58.0
64,0.7302,00:20:16.0
65,0.7193,00:20:35.0
66,0.7084,00:20:54.0
67,0.6975,00:21:13.0
68,0.6866,00:21:33.0
69,0.6757,00:21:54.0
70,0.6648,00:22:16.0
71,0.6539,00:22:38.0
72,0.643,00:23:01.0
73,0.6321,00:23:25.0
74,0.6212,00:23:49.0
75,0.6103,00:24:15.0
76,0.5994,00:24:41.0
77,0.5885,00:25:09.0
78,0.5776,00:25:37.0
79,0.5667,00:26:07.0
80,0.5552,00:26:39.0
81,0.5425,00:27:17.0
82,0.5286,00:28:00.0
83,0.5135,00:28:49.0
84,0.4972,00:29:46.0
85,0.4797,00:30:51.0
86,0.461,00:32:06.0
87,0.4411,00:33:33.0
88,0.42,00:35:14.0
89,0.3977,00:37:13.0
90,0.3742,00:39:33.0
91,0.3495,00:42:21.0
92,0.3236,00:45:44.0
93,0.2965,00:49:55.0
94,0.2682,00:55:11.0
95,0.2387,01:02:00.0
96,0.208,01:11:09.0
97,0.1761,01:24:03.0
98,0.143,01:43:30.0
99,0.1087,02:16:09.0
100,0.0732,03:22:11.0
